exchange,TrueFX,TrueFX,TrueFX,TrueFX,TrueFX,TrueFX,TrueFX,TrueFX,TrueFX,TrueFX,IEX,IEX,PorftolioValue
ticker,GBP/USD,EUR/USD,USD/JPY,EUR/GBP,USD/CHF,EUR/JPY,EUR/CHF,USD/CAD,AUD/USD,GBP/JPY,SPY,QQQ,
2019-12-11 15:32:42.698418,0,0,0,0,0,0,0,0,0,0,0,0,50000.0
2019-12-11 15:32:44.412470,0,0,0,0,0,0,0,0,0,0,0,0,50000.0
2019-12-11 15:32:46.171356,5,5,5,5,5,5,5,5,5,5,5,5,49999.8517
2019-12-11 15:32:47.875297,5,5,5,5,5,5,5,5,5,5,5,5,49999.901724999996
2019-12-11 15:32:49.591025,5,5,5,5,5,5,5,5,5,5,5,5,49999.889149999995
2019-12-11 15:32:51.203735,5,5,5,5,5,5,5,5,5,5,5,5,49999.889149999995
2019-12-11 15:32:52.888570,5,5,5,5,5,5,5,5,5,5,5,5,49999.918525
2019-12-11 15:32:54.497920,5,5,5,5,5,5,5,5,5,5,5,5,49999.913949999995
2019-12-11 15:32:56.119589,5,5,5,5,5,5,5,5,5,5,5,5,49999.79135
2019-12-11 15:32:58.181585,5,5,5,5,5,5,5,5,5,5,5,5,49999.7987
2019-12-11 15:32:59.809252,5,5,5,5,5,5,5,5,5,5,5,5,49999.94395
2019-12-11 15:33:01.407562,5,5,5,5,5,5,5,5,5,5,5,5,49999.913824999996
2019-12-11 15:33:03.149846,5,5,5,5,5,5,5,5,5,5,5,5,49999.813799999996
2019-12-11 15:33:04.753653,5,5,5,5,5,5,5,5,5,5,5,5,49999.633774999995
2019-12-11 15:33:06.391596,5,5,5,5,5,5,5,5,5,5,5,5,49999.611475
2019-12-11 15:33:08.019368,5,5,5,5,5,5,5,5,5,5,5,5,49999.466275
2019-12-11 15:33:09.797357,5,5,5,5,5,5,5,5,5,5,5,5,49999.4837
2019-12-11 15:33:11.549275,5,5,5,5,5,5,5,5,5,5,5,5,49999.23845
2019-12-11 15:33:13.241856,5,5,5,5,5,5,5,5,5,5,5,5,49999.186
2019-12-11 15:33:14.985497,5,5,5,5,5,5,5,5,5,5,5,5,49999.2135
2019-12-11 15:33:16.791665,5,5,5,5,5,5,5,5,5,5,5,5,49999.3385
2019-12-11 15:33:18.407845,5,5,5,5,5,5,5,5,5,5,5,5,49999.44365
2019-12-11 15:33:20.089026,5,5,5,5,5,5,5,5,5,5,5,5,49999.4737
2019-12-11 15:33:21.697247,5,5,5,5,5,5,5,5,5,5,5,5,49999.601125
2019-12-11 15:33:23.320117,5,5,5,5,5,5,5,5,5,5,5,5,49999.648625
2019-12-11 15:33:25.095613,5,5,5,5,5,5,5,5,5,5,5,5,49999.668724999996
2019-12-11 15:33:26.762010,5,5,5,5,5,5,5,5,5,5,5,5,49999.66377499999
2019-12-11 15:33:28.609154,5,5,5,5,5,5,5,5,5,5,5,5,49999.838599999995
2019-12-11 15:33:30.188917,5,5,5,5,5,5,5,5,5,5,5,5,49999.863724999996
2019-12-11 15:33:31.768763,5,5,5,5,5,5,5,5,5,5,5,5,49999.80855
2019-12-11 15:33:33.423079,5,5,5,5,5,5,5,5,5,5,5,5,49999.8335
2019-12-11 15:33:35.024218,5,5,5,5,5,5,5,5,5,5,5,5,49999.695499999994
2019-12-11 15:33:36.713441,5,5,5,5,5,5,5,5,5,5,5,5,49999.84325
2019-12-11 15:33:38.350020,5,5,5,5,5,5,5,5,5,5,5,5,49999.743174999996
2019-12-11 15:33:40.104413,5,5,5,5,5,5,5,5,5,5,5,5,49999.635174999996
2019-12-11 15:33:41.730870,5,5,5,5,5,5,5,5,5,5,5,5,49999.725524999994
2019-12-11 15:33:43.455740,5,5,5,5,5,5,5,5,5,5,5,5,49999.650825
2019-12-11 15:33:45.078121,5,5,5,5,5,5,5,5,5,5,5,5,49999.75095
2019-12-11 15:33:46.706354,5,5,5,5,5,5,5,5,5,5,5,5,49999.7509
2019-12-11 15:33:48.352081,5,5,5,5,5,5,5,5,5,5,5,5,49999.755874999995
2019-12-11 15:33:50.233591,5,5,5,5,5,5,5,5,5,5,5,5,49999.755925
2019-12-11 15:33:52.167734,5,5,5,5,5,5,5,5,5,5,5,5,49999.705975
2019-12-11 15:33:53.809392,5,5,5,5,5,5,5,5,5,5,5,5,49999.698475
2019-12-11 15:33:55.399808,5,5,5,5,5,5,5,5,5,5,5,5,49999.648425
2019-12-11 15:33:57.012193,5,5,5,5,5,5,5,5,5,5,5,5,49999.623425
2019-12-11 15:33:58.601181,5,5,5,5,5,5,5,5,5,5,5,5,49999.648425
2019-12-11 15:34:00.183813,5,5,5,5,5,5,5,5,5,5,5,5,49999.646275
2019-12-11 15:34:01.815457,5,5,5,5,5,5,5,5,5,5,5,5,49999.6988
2019-12-11 15:34:03.407981,5,5,5,5,5,5,5,5,5,5,5,5,49999.681025
2019-12-11 15:34:04.985906,5,5,5,5,5,5,5,5,5,5,5,5,49999.698749999996
2019-12-11 15:34:06.735453,5,5,5,5,5,5,5,5,5,5,5,5,49999.691325
2019-12-11 15:34:08.457389,5,5,5,5,5,5,5,5,5,5,5,5,49999.69135
2019-12-11 15:34:10.179387,5,5,5,5,5,5,5,5,5,5,5,5,49999.661125
2019-12-11 15:34:11.822932,5,5,5,5,5,5,5,5,5,5,5,5,49999.621074999995
2019-12-11 15:34:13.468903,5,5,5,5,5,5,5,5,5,5,5,5,49999.621125
2019-12-11 15:34:15.051789,5,5,5,5,5,5,5,5,5,5,5,5,49999.746125
2019-12-11 15:34:16.631300,5,5,5,5,5,5,5,5,5,5,5,5,49999.766449999996
2019-12-11 15:34:18.212876,5,5,5,5,5,5,5,5,5,5,5,5,49999.581549999995
2019-12-11 15:34:19.798715,5,5,5,5,5,5,5,5,5,5,5,5,49999.69405
2019-12-11 15:34:21.386025,5,5,5,5,5,5,5,5,5,5,5,5,49999.776549999995
2019-12-11 15:34:23.011115,5,5,5,5,5,5,5,5,5,5,5,5,49999.784125
2019-12-11 15:34:24.867007,5,5,5,5,5,5,5,5,5,5,5,5,49999.676625
2019-12-11 15:34:26.801401,5,5,5,5,5,5,5,5,5,5,5,5,49999.721724999996
2019-12-11 15:34:28.436102,5,5,5,5,5,5,5,5,5,5,5,5,49999.63415
2019-12-11 15:34:30.073067,5,5,5,5,5,5,5,5,5,5,5,5,49999.709149999995
2019-12-11 15:34:31.695670,5,5,5,5,5,5,5,5,5,5,5,5,49999.7167
2019-12-11 15:34:33.303718,5,5,5,5,5,5,5,5,5,5,5,5,49999.543874999996
2019-12-11 15:34:34.911607,5,5,5,5,5,5,5,5,5,5,5,5,49999.471375
2019-12-11 15:34:36.668731,5,5,5,5,5,5,5,5,5,5,5,5,49999.453575
2019-12-11 15:34:38.527669,5,5,5,5,5,5,5,5,5,5,5,5,49999.4261
2019-12-11 15:34:40.198603,5,5,5,5,5,5,5,5,5,5,5,5,49999.493125
2019-12-11 15:34:41.886908,5,5,5,5,5,5,5,5,5,5,5,5,49999.265725
2019-12-11 15:34:43.974140,5,5,5,5,5,5,5,5,5,5,5,5,49999.268124999995
2019-12-11 15:34:45.566672,5,5,5,5,5,5,5,5,5,5,5,5,49999.2852
2019-12-11 15:34:47.147160,5,5,5,5,5,5,5,5,5,5,5,5,49999.340225
2019-12-11 15:34:48.786718,5,5,5,5,5,5,5,5,5,5,5,5,49999.215249999994
2019-12-11 15:34:51.796147,5,5,5,5,5,5,5,5,5,5,5,5,49999.295375
2019-12-11 15:34:53.392984,5,5,5,5,5,5,5,5,5,5,5,5,49999.295275
2019-12-11 15:34:54.974326,5,5,5,5,5,5,5,5,5,5,5,5,49999.3379
2019-12-11 15:34:56.583334,5,5,5,5,5,5,5,5,5,5,5,5,49999.362949999995
2019-12-11 15:34:58.223662,5,5,5,5,5,5,5,5,5,5,5,5,49999.275275
2019-12-11 15:34:59.842763,5,5,5,5,5,5,5,5,5,5,5,5,49999.125725
2019-12-11 15:35:01.440458,5,5,5,5,5,5,5,5,5,5,5,5,49999.2328
2019-12-11 15:35:05.069553,5,5,5,5,5,5,5,5,5,5,5,5,49999.167575
2019-12-11 15:35:06.881325,5,5,5,5,5,5,5,5,5,5,5,5,49999.080024999996
2019-12-11 15:35:08.655349,5,5,5,5,5,5,5,5,5,5,5,5,49999.052475
2019-12-11 15:35:10.253069,5,5,5,5,5,5,5,5,5,5,5,5,49999.0599
2019-12-11 15:35:11.864324,5,5,5,5,5,5,5,5,5,5,5,5,49999.081725
2019-12-11 15:35:13.459339,5,5,5,5,5,5,5,5,5,5,5,5,49999.286674999996
2019-12-11 15:35:15.036281,5,5,5,5,5,5,5,5,5,5,5,5,49999.2368
2019-12-11 15:35:16.665371,5,5,5,5,5,5,5,5,5,5,5,5,49999.281825
2019-12-11 15:35:18.265631,5,5,5,5,5,5,5,5,5,5,5,5,49999.276825
2019-12-11 15:35:19.929164,5,5,5,5,5,5,5,5,5,5,5,5,49999.324775
2019-12-11 15:35:21.510055,5,5,5,5,5,5,5,5,5,5,5,5,49999.359724999995
2019-12-11 15:35:23.105370,5,5,5,5,5,5,5,5,5,5,5,5,49999.259775
2019-12-11 15:35:24.848213,5,5,5,5,5,5,5,5,5,5,5,5,49999.15925
2019-12-11 15:35:26.483447,5,5,5,5,5,5,5,5,5,5,5,5,49998.954399999995
2019-12-11 15:35:28.133229,5,5,5,5,5,5,5,5,5,5,5,5,49998.886975
2019-12-11 15:35:29.771606,5,5,5,5,5,5,5,5,5,5,5,5,49998.836975
2019-12-11 15:35:31.378463,5,5,5,5,5,5,5,5,5,5,5,5,49998.711975
